content	date	key
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":583424,""dimension_condition"":16,""structure_condition"":""intermediate"",""predictive_dim"":15,""predictive_idx"":11,""feature_positions"":""2_14_9_4_3_13_15_6_10_7_8_0_1_12_5_11"",""feature_dims"":""10_7_5_2_6_3_0_4_9_13_8_15_11_1_12_14"",""trial"":56,""block"":3,""block_trial"":16,""stim"":""1111000000011111"",""shuffled_stim"":""1100111000011101"",""label"":1,""rt"":1504,""button_value"":1,""completion_code"":88748}"	2017-08-10T18:54:38	4504116097187840
"{""age"":33,""gender"":""male"",""country"":""India"",""experiment"":""exp_one_no_timer"",""subject_ID"":13133,""dimension_condition"":16,""structure_condition"":""family"",""predictive_dim"":1,""predictive_idx"":15,""feature_positions"":""12_7_4_14_15_2_6_5_8_3_1_9_10_11_13_0"",""feature_dims"":""5_6_9_2_4_13_11_15_0_3_8_7_12_14_10_1"",""trial"":30,""block"":2,""block_trial"":10,""stim"":""1111111111111101"",""shuffled_stim"":""1110111111111111"",""label"":1,""rt"":13955,""button_value"":1,""completion_code"":16426}"	2017-08-10T20:24:40	4504435132727296
"{""age"":39,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":486729,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":0,""predictive_idx"":2,""feature_positions"":""1_2_0_3"",""feature_dims"":""15_14_0_9_10_11_1_8_4_5_3_13_12_2_7_6"",""trial"":55,""block"":3,""block_trial"":15,""stim"":""1100"",""shuffled_stim"":""1010"",""label"":1,""rt"":4153,""button_value"":1,""completion_code"":45336}"	2017-08-10T19:00:56	4504638204149760
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":323685,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":2,""predictive_idx"":1,""feature_positions"":""1_0_2_3"",""feature_dims"":""12_2_0_8_15_10_14_7_13_6_11_1_4_3_9_5"",""trial"":38,""block"":2,""block_trial"":18,""stim"":""1010"",""shuffled_stim"":""0110"",""label"":1,""rt"":1456,""button_value"":1,""completion_code"":23606}"	2017-08-10T19:07:23	4505971523059712
"{""age"":34,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":88411,""dimension_condition"":16,""structure_condition"":""rule"",""predictive_dim"":0,""predictive_idx"":15,""feature_positions"":""7_10_2_6_3_1_13_12_5_11_8_9_14_15_4_0"",""feature_dims"":""8_3_7_4_15_9_1_5_2_6_11_12_13_10_14_0"",""trial"":68,""block"":4,""block_trial"":8,""stim"":""0001101011100111"",""shuffled_stim"":""0101101000111110"",""label"":1,""rt"":882,""button_value"":1,""completion_code"":55821}"	2017-08-10T18:53:47	4507240685895680
"{""age"":25,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":830443,""dimension_condition"":16,""structure_condition"":""intermediate"",""predictive_dim"":9,""predictive_idx"":3,""feature_positions"":""4_9_2_0_14_13_1_6_7_12_11_5_10_8_3_15"",""feature_dims"":""10_11_5_9_13_8_2_12_6_14_3_1_15_4_0_7"",""trial"":90,""block"":5,""block_trial"":10,""stim"":""0010010000010110"",""shuffled_stim"":""0010110000110000"",""label"":0,""rt"":1200,""button_value"":0,""completion_code"":27747}"	2017-08-10T19:45:02	4507334369869824
"{""age"":38,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":450023,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":11,""predictive_idx"":4,""feature_positions"":""3_8_9_1_0_7_6_2_4_5"",""feature_dims"":""15_10_7_6_11_8_13_4_12_9_1_0_14_3_2_5"",""trial"":14,""block"":1,""block_trial"":14,""stim"":""1100100011"",""shuffled_stim"":""0111100010"",""label"":1,""rt"":653,""button_value"":1,""completion_code"":37976}"	2017-08-10T20:32:37	4508532531527680
"{""age"":37,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":726387,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":5,""predictive_idx"":5,""feature_positions"":""1_3_4_8_9_0_6_2_5_7"",""feature_dims"":""11_1_3_14_2_5_7_9_13_15_6_12_4_8_0_10"",""trial"":40,""block"":2,""block_trial"":20,""stim"":""0100111000"",""shuffled_stim"":""1010001010"",""label"":0,""rt"":859,""button_value"":0,""completion_code"":63171}"	2017-08-10T19:00:17	4508651582652416
"{""age"":44,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":431053,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":5,""predictive_idx"":2,""feature_positions"":""1_3_0_2"",""feature_dims"":""12_9_5_4_0_11_14_15_2_6_13_8_7_3_1_10"",""trial"":46,""block"":3,""block_trial"":6,""stim"":""1001"",""shuffled_stim"":""0110"",""label"":1,""rt"":1865,""button_value"":1,""completion_code"":23509}"	2017-08-10T19:32:07	4510014429462528
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":960101,""dimension_condition"":4,""structure_condition"":""intermediate"",""predictive_dim"":6,""predictive_idx"":1,""feature_positions"":""3_0_1_2"",""feature_dims"":""4_6_5_11_1_15_8_12_9_3_10_0_7_13_14_2"",""trial"":29,""block"":2,""block_trial"":9,""stim"":""0010"",""shuffled_stim"":""0001"",""label"":0,""rt"":1617,""button_value"":0,""completion_code"":36415}"	2017-08-10T19:15:46	4511228563030016
