content	date	key
"{""age"":35,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":550357,""dimension_condition"":4,""coherence_condition"":90,""predictive_dim"":14,""predictive_idx"":0,""feature_positions"":""0_3_1_2"",""feature_dims"":""14_6_13_9_4_15_7_10_8_11_12_5_0_2_1_3"",""trial"":46,""block"":3,""block_trial"":6,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1672,""button_value"":1,""completion_code"":13153}"	2017-08-11T14:12:43	4504251388657664
"{""age"":26,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":817640,""dimension_condition"":4,""coherence_condition"":90,""predictive_dim"":13,""predictive_idx"":1,""feature_positions"":""3_0_1_2"",""feature_dims"":""2_13_3_7_6_5_9_10_11_4_12_0_14_15_1_8"",""trial"":24,""block"":2,""block_trial"":4,""stim"":""1110"",""shuffled_stim"":""0111"",""label"":1,""rt"":871,""button_value"":1,""completion_code"":52116}"	2017-08-11T15:45:30	4504396612239360
"{""age"":36,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":656820,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":5,""predictive_idx"":0,""feature_positions"":""0_3_2_1"",""feature_dims"":""5_7_3_1_10_6_14_13_2_9_15_11_4_12_0_8"",""trial"":88,""block"":5,""block_trial"":8,""stim"":""0100"",""shuffled_stim"":""0001"",""label"":0,""rt"":2032,""button_value"":1,""completion_code"":33260}"	2017-08-11T14:43:43	4504435132727296
"{""age"":32,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":323277,""dimension_condition"":10,""coherence_condition"":90,""predictive_dim"":14,""predictive_idx"":3,""feature_positions"":""6_5_3_0_8_4_1_9_7_2"",""feature_dims"":""5_11_9_14_2_1_4_6_12_10_15_8_7_3_13_0"",""trial"":52,""block"":3,""block_trial"":12,""stim"":""1101111011"",""shuffled_stim"":""1111111100"",""label"":1,""rt"":1438,""button_value"":1,""completion_code"":52128}"	2017-08-11T14:07:11	4504638204149760
"{""age"":41,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":457988,""dimension_condition"":16,""coherence_condition"":90,""predictive_dim"":6,""predictive_idx"":15,""feature_positions"":""1_14_10_9_8_6_13_7_15_5_12_4_2_3_11_0"",""feature_dims"":""14_10_11_12_1_7_4_5_3_0_2_15_13_9_8_6"",""trial"":11,""block"":1,""block_trial"":11,""stim"":""0100000000000000"",""shuffled_stim"":""1000000000000000"",""label"":0,""rt"":1598,""button_value"":0,""completion_code"":69513}"	2017-08-11T14:27:42	4505043810123776
"{""age"":45,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":288583,""dimension_condition"":16,""coherence_condition"":80,""predictive_dim"":6,""predictive_idx"":4,""feature_positions"":""6_4_15_13_0_10_11_5_2_1_8_9_12_7_14_3"",""feature_dims"":""12_7_10_15_6_9_11_1_14_5_0_3_13_8_2_4"",""trial"":64,""block"":4,""block_trial"":4,""stim"":""1110110010111111"",""shuffled_stim"":""0111111111101010"",""label"":1,""rt"":2088,""button_value"":0,""completion_code"":40754}"	2017-08-11T14:01:26	4505676780929024
"{""age"":24,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":739468,""dimension_condition"":4,""coherence_condition"":90,""predictive_dim"":1,""predictive_idx"":1,""feature_positions"":""3_0_2_1"",""feature_dims"":""14_1_9_2_4_3_11_15_6_13_5_10_8_7_0_12"",""trial"":37,""block"":2,""block_trial"":17,""stim"":""1110"",""shuffled_stim"":""0111"",""label"":1,""rt"":1066,""button_value"":1,""completion_code"":80380}"	2017-08-11T15:19:38	4506899235995648
"{""age"":33,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":129725,""dimension_condition"":10,""coherence_condition"":90,""predictive_dim"":6,""predictive_idx"":0,""feature_positions"":""0_5_7_1_6_2_8_4_9_3"",""feature_dims"":""6_12_14_1_2_13_9_8_11_5_10_3_4_0_15_7"",""trial"":35,""block"":2,""block_trial"":15,""stim"":""0000000000"",""shuffled_stim"":""0000000000"",""label"":0,""rt"":1482,""button_value"":0,""completion_code"":92054}"	2017-08-11T13:56:34	4507240685895680
"{""age"":41,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":457988,""dimension_condition"":16,""coherence_condition"":90,""predictive_dim"":6,""predictive_idx"":15,""feature_positions"":""1_14_10_9_8_6_13_7_15_5_12_4_2_3_11_0"",""feature_dims"":""14_10_11_12_1_7_4_5_3_0_2_15_13_9_8_6"",""trial"":35,""block"":2,""block_trial"":15,""stim"":""0111011111111111"",""shuffled_stim"":""1111111111101110"",""label"":1,""rt"":10399,""button_value"":1,""completion_code"":69513}"	2017-08-11T14:32:20	4507334369869824
"{""age"":27,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":38331,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":4,""predictive_idx"":0,""feature_positions"":""0_3_2_1"",""feature_dims"":""4_7_3_10_6_0_12_2_5_1_9_8_13_15_14_11"",""trial"":96,""block"":5,""block_trial"":16,""stim"":""0110"",""shuffled_stim"":""0011"",""label"":0,""rt"":3145,""button_value"":1,""completion_code"":48248}"	2017-08-11T14:22:56	4508168398831616
